userId,prodId,rating,DateM,DateD,DateY,Helpa,Helpb,Reviewa,Reviewb
A3OYE7X2O08LNT,972683275,4,2,7,2013,0,0,Bought the mount for my 30&#34, Dell U3011 monitor,
A2LR9WP2JGDT8E,972683275,2,12,17,2012,0,2,The mount plate and the extender arms need to be s,,
A18FTRFQQ141CP,972683275,5,3,18,2012,0,0,VERY HAPPY it looks great I'm so happy we got it,,
A1XEYWWDJ09OEA,972683275,4,2,12,2011,0,0,I wasn't willing to pay $100 for simply mounting a,,
A2JMN2JA9LSHVL,972683275,1,12,1,2012,1,2,Bought NEW but I could tell right away that mine h,,
A3ATF868IEP191,972683275,4,2,11,2013,0,0,This is a rather good tv mount. This tv mount work,,
A14O9P3DV5EHKO,972683275,3,1,28,2013,0,1,I had to use a hacksaw to cut away part of this to,,
AVHB9LLVCTEKY,972683275,5,7,30,2013,0,0,I have a 42&#34, Hannspree LCD TV. It weighs 42.5 ,
A2GPNXFUUV51ZZ,972683275,5,3,27,2014,0,0,Installed easy and in no time at all (finding the ,,
A3CLWR1UUZT6TG,972683275,5,7,12,2013,0,0,I have two of these now in different rooms. Works ,,
A1V8UZ63FQD382,972683275,5,8,19,2013,0,0,We got this one recently and its a great wall moun,,
A3Q7DHKIU7TMBI,972683275,4,1,3,2013,0,0,this is a good product.  It went up easily.  I did,,
AOOQGCJEV25VT,972683275,5,12,11,2012,0,0,I have purchased 3 of these wall mounts and they h,,
A24OHQK700QEIW,972683275,5,5,2,2012,0,0,Very good item, I am happy wit it and delivery ti,
A3T3M5EYGCWSUA,972683275,5,7,2,2011,0,0,"This was perfect for my 24"" LED monitor I had it ",,
A38FGQVJM18OWV,972683275,1,12,1,2010,8,18,I checked around Amazon as well as some other site,,
A1CA40102FA5N0,972683275,5,3,22,2014,0,0,Installed easily has a nice long reach.  Attached,,
A12PFARGH9ELDI,972683275,5,8,29,2013,0,0,For the price.....can't be beat.  I have two TV's ,,
A1P560UNX4SBE7,972683275,5,10,22,2013,2,2,Works Great. Holds my 40 inch TV effortlessly. Ver,,
A28RVT20CEXA8B,972683275,4,1,22,2011,0,0,Used this with a Panasonic 22 inch LCD. Very durab,,
A27OMVFGJXH1VB,972683275,5,2,15,2013,0,0,I have a 47&#34, TV and had no place to put it in ,
A3E4YU6APQLRKE,972683275,5,11,17,2013,0,0,Great Mount so many areas of articulation. This w,,
A1N4DKWTQ9YP1Q,972683275,5,2,2,2013,0,0,This is perfect for what I needed it for. I can mo,,
AD0VA39FRVNKN,972683275,5,2,12,2013,0,1,have not had the opportunity to install the tv mou,,
ABM9CL72EGWKN,972683275,4,11,7,2013,0,0,Why pay the $$$$ at Best Buy when you can get the ,,
A3A7ZJ4QS65X15,972683275,3,2,8,2013,0,0,Pro's: Easy to setup.  Supports many different VES,,
A110S8IJ3ZID0D,972683275,5,1,2,2014,0,0,We bought this for a 55&#34, Vizio and it worked p,
A11NR4AJK9TNQM,972683275,4,7,25,2011,0,0,I am impressed with the solid design of this TV Wa,,
A13M65IGNEQXW1,972683275,3,1,26,2013,0,0,I bought the uint for a 32 &#34, Tando.  I couldn',
A180BZHVJIRWBZ,972683275,4,10,22,2011,0,0,Very well made strong mount the only problem I ha,,
A1R2514DVWIIMV,972683275,4,12,27,2010,1,1,Perhaps I misunderstood how to install the mount ,,
A1KM3IPZ9H0JKZ,972683275,4,1,28,2014,0,0,It took about 10 mins to install this TV Wall Moun,,
AZ6SUJ5T0KBE5,972683275,5,7,22,2013,0,1,I used this to hang my 40&#34, LCD that I bought b,
A7EVWY97FPSIA,972683275,5,12,10,2012,0,0,you can't beat the price and the installation was ,,
A1VM0DU10K0DE6,972683275,5,9,18,2013,0,0,Totally love this product!! I bought two - one for,,
A1VA1QF8KZNBLL,972683275,5,12,29,2010,0,0,UPDATE: I have now have purchased 3 of these for w,,
A1QKUDP9EUHJXH,972683275,4,4,29,2013,0,0,Used this for the bedroom. Put it in the corner bu,,
A3TAS1AG6FMBQW,972683275,5,11,21,2012,0,0,The VideoSecu line of articulating wall mounts has,,
A2T4OX8NH9LIIC,972683275,5,1,19,2013,0,0,you can spend a ton of money on one of these or y,,
A3VSGMP5KCQ4Q2,972683275,5,4,18,2013,0,0,This is a really well made and engineered product ,,
A2RUN82QPU60PN,972683275,3,3,8,2013,0,1,My flat screem computer monitor is very light and ,,
A2W75LE521OOTH,972683275,5,12,19,2012,0,0,The mount I purchased is great. It is designed for,,
A1PYNMFFQ9IBNL,972683275,5,12,17,2012,0,0,Tv has been on wall for a long time.  Hasn't falle,,
ANJY75Z24A6AG,972683275,5,3,15,2013,1,1,This is exactly what I needed.  It was easy to mou,,
AYYNNAEWP3W5Y,972683275,5,12,3,2011,0,0,This TV mount I bought for just $25 easily outdoes,,
A2XXCJLS58H1A7,972683275,5,8,10,2013,0,0,I have purchased this mount twice now - one for my,,
A3DOQ1AI1MU74K,972683275,4,11,10,2011,0,0,Amazon as always 5 stars in service and shipping.T,,
A2I87F2QCJ6RK3,972683275,3,1,23,2013,1,1,This device is somewhat weak even for the 46 inch ,,
A2EOJNVW4NF4AE,972683275,4,3,21,2011,0,0,Easy to install and the TV is still on the wall af,,
AB31FF0JMPOUP,972683275,5,12,10,2013,0,0,Very easy to setup simple instructions has all t,,
A10S9NK38WEQ65,972683275,4,1,7,2014,0,0,Very concerned over hanging a 46&#34, tv on the wa,
A56AUIA2KJ3KQ,972683275,5,12,14,2012,0,0,Another gem hidden amoungst the Amazon halls. This,,
A22UL4BXTSXSCB,972683275,4,7,19,2013,0,0,It needs improment. I wish it has one more hole to,,
AD3L2C20LB7EP,972683275,5,4,18,2011,0,0,quickly shipped to my house and mounted myself. i ,,
A2UT34LEOXUR33,972683275,5,7,20,2013,0,0,Very good materials very lightweight  cheaper th,,
A39KBWLS6TURMR,972683275,5,4,21,2012,0,0,Made in china but this time  its well made. nice,,
ALVJCD5NY28G4,972683275,4,12,20,2010,0,0,Mount went up easily and seems sturdy enough.  How,,
ATWPVC644K29Z,972683275,5,6,10,2013,0,0,Great functionality really incredible price and ,,
A2LME30OB5OHTN,972683275,5,4,27,2012,0,0,Quick and easy installation - very solid product. ,,
A1EWQ5Y6HHSJGX,972683275,5,12,8,2013,0,0,Excellent buy! We are very pleased with this item.,,
A120ULF73SUTI9,972683275,4,3,15,2013,2,2,Warning Do your homework before ordering a tv wal,,
A4AF29Y2BHYEY,972683275,3,8,18,2013,0,0,Too Heavy and Poor weld quality .Lot of blow holes,,
A6FGKXU6ZPW64,972683275,5,1,29,2014,0,0,i bought a funky double hinged wall mount from ama,,
A1463ASM7QMU2I,972683275,3,1,13,2012,0,0,I have 3 swivel mounts and this one is not the bes,,
A2BLGQ2SCSKCCY,972683275,5,1,22,2013,0,0,JUST IN STALL ANOTHER SAMSUNG 55&#34, LED FLAT SCR,
A21OS6PWQG5YOO,972683275,5,5,25,2012,0,0,For a good wall mount of a smaller TV this is per,,
A1OYA1IESSJ8F6,972683275,5,1,21,2014,0,0,I use this arm to mount my 39 inch Vizio. I'm surp,,
AA81KFW4X8UIH,972683275,5,2,11,2013,0,0,Was a perfect fit for my 32&#34, flat screen TV.  ,
A317RWPY08I5QX,972683275,5,11,4,2013,0,0,Good wall mount. Sturdy and does what it is suppos,,
A39WT88YZXIJTB,972683275,5,3,25,2014,0,0,This was half the price of the TV mounts at Costco,,
A3UYI01GLEYZSP,972683275,5,2,19,2013,0,0,This is possibly one of the best mounting kits I'v,,
AP7LSRPXT3ZL8,972683275,5,1,3,2013,0,0,Exactly as described.Very heavy duty.Lots of parts,,
AP3XMM1077I50,972683275,5,11,30,2013,0,0,I bought three of these mounts for all the bedroom,,
A1038957GWRBP375RU5T,972683275,5,11,22,2012,0,0,Awesome price and quality. Simple and easy to inst,,
A7R4R9THNELTP,972683275,5,9,30,2010,14,19,"I mounted this in my RV and it holds a 26"" LCD TV ",,
A2RU0H9MD4IH5M,972683275,5,4,28,2013,0,1,Got my TV mounted with this above my PC and its be,,
A2U9XX4Q5NQBG6,972683275,5,2,27,2014,0,0,I really like the action on this mount.  I purchas,,
A212REVB5AFP02,972683275,4,3,6,2014,0,0,I have an older very heavy 36&#34, Samsung High De,
A3SXYB8JPQ44LN,972683275,4,7,17,2012,3,4,"Used this for a Panasonic 32"" LCD TV.  Mount works",,
A3LSVS4YA2CEAX,972683275,3,10,21,2013,0,1,The product is good and as described.I have a 32&#,,
A3TAT80JCWYGB4,972683275,5,1,7,2014,0,0,The TV is still hanging from the wall so that's a ,,
A2KUEGMSLHUNNP,972683275,5,11,27,2012,0,0,Bought this mount for a 32inch Panasonic LED TV. T,,
A2YF3QW52PBL3C,972683275,5,1,10,2013,1,2,,,
A7V9WIUIB02OI,972683275,4,10,4,2013,0,0,Good strong mount and quality hardware. Includes ,,
A2TOUTL6Z74SMQ,972683275,5,5,17,2011,0,0,Very solid...we mounted our flat panel in the bedr,,
A8THC8D64F5E3,972683275,4,3,28,2013,0,0,I bought this tv swing arm mount for my tv from am,,
A1RI8HAZRUWZM6,972683275,5,11,10,2013,0,0,Easy to attach. Easy to adjust. Very Solid and sec,,
A3IZFW84VV75XS,972683275,5,4,9,2013,0,0,I have my 32 inch Tv on the wall and it works grea,,
A3AKVALGT4Y02G,972683275,4,2,19,2008,5,6,For the money you can't go wrong. Yes it has a li,,
A2I8J6GW1H6LWU,972683275,5,9,26,2010,7,9,I love this mount! All the adjustments for tilt an,,
AY796UUSZ2ZVA,972683275,5,9,5,2012,0,0,I have this mounted on my wall in my editing studi,,
A2NOXTG05AHVB3,972683275,5,6,28,2013,0,0,My students and I used to huddle around laptops to,,
A2KR372GZW00MJ,972683275,4,12,9,2013,0,0,It is a good value but is not top notch quality. ,,
A2BLRT79WUTLXW,972683275,3,2,26,2014,0,0,The mount itself seems fine it just didn't work w,,
A3PR648T8RDRS,972683275,4,8,15,2012,0,0,Got this to replace a Peerless Paramount wall moun,,
A6TWN9W9WSAV0,972683275,4,12,31,2012,0,0,It is up know and should work fine but it was har,,
AZFF4CX9MQ4AE,972683275,5,11,23,2013,0,0,Very strong for any tv but I wish that it was lit,,
AH7DLKHSGZKCR,972683275,5,3,23,2013,0,0,Easy install!! Looks great and works great for wha,,
A2HI35H2BOCV9R,972683275,3,3,29,2011,0,0,It is a solid mount and I doubt that it will ever ,,
A11IFJDOZ0T6Z2,972683275,3,1,20,2013,0,0,The mount works but it is unrefined compared to o,,
A15K7HV1XD6YWR,972683275,1,2,13,2013,5,7,I consider myself to be a good DIYer. I've install,,
A1HMK1KMWQBDTT,972683275,5,12,25,2013,0,0,Works great for a cheap mount. Worked great on a 3,,
A1S8E2JSVXHIPB,972683275,5,9,11,2013,0,0,We needed something to Extend our tv away from the,,
A2QBJEHKTD7R6O,972683275,3,8,29,2013,0,0,its a little flimsy and not the easiest to put tog,,
A3S1BO0SLFC5H,972683275,5,8,21,2013,0,0,We needed a wall mount for a 32&#8221, TV that was,
A81NVWL4MMVT8,972683275,4,9,28,2013,0,0,It works for the tv I bought but I had to use some,,
A3EP4YIS9W1LR1,972683275,5,1,14,2013,0,0,I have mounted a 42 inch old LCD. Easy to install.,,
AHPRCZ59P9RU0,972683275,5,1,11,2011,0,0,I wanted to put my mac in the wall and leave it. T,,
A38LYJ7NQ65G5L,972683275,5,1,30,2014,0,0,I have purchased a total of 4 HDTV wall mounts fro,,
A6GYEDCEU2LKG,972683275,5,5,5,2011,0,0,Received this item quickly and well packaged (But ,,
A3TCV19D652GPU,972683275,4,4,25,2013,0,0,Could offer a little more in flexibility of instal,,
A1N7QSP1U513KJ,972683275,5,2,17,2013,0,0,The directions stink. Just remember the spacers go,,
AQIBGC2OCCAHQ,972683275,5,6,28,2014,0,0,It is better than spending twice the money on this,,
A1EAXVLKPVL8W5,972683275,5,3,8,2013,0,0,Good quality.  Must mount on a stud.  I mounted to,,
A32QNGGSX3YTAH,972683275,5,11,17,2010,0,0,This item didn't disappoint. It's sturdy has all ,,
A1FFCR74WU1E6Z,972683275,5,2,15,2014,1,1,This worked perfect.  The universal design would f,,
A2GGS3I5BY7R1A,972683275,5,9,8,2013,1,1,I have a full 42&#34, HD flat screen mounted on th,
A326UIIB1O2UUR,972683275,5,3,11,2014,0,0,had a couple of guys put this up for me but they ,,
A2RE73VUCARNE0,972683275,5,2,25,2013,0,0,This product is user friendly and versatile.It is ,,
A3KHBD3YRNY5WO,972683275,5,3,8,2013,1,1,it was so easy to install.  the instructions were ,,
A3VWY3CDC423UM,972683275,5,2,2,2013,0,0,works great was pretty easy to put up and does the,,
A1L7JCX9IKGKIQ,972683275,5,3,20,2012,0,0,I am very happy with this affordable wall mount fo,,
A2Y4H3PXB07WQI,972683275,4,12,16,2010,0,0,"I have a 26"" LCD monitor mounted on unit.Seems stu",,
A3HAWAR6KX3ENU,972683275,5,7,14,2013,0,0,Easy to install and works great. Television moves,,
A2EBPFXZNLL753,972683275,5,8,26,2012,0,0,This was for a 32 inch LCD.  Easy to install and w,,
A1OY33KGOG3IX8,972683275,4,2,15,2013,0,0,Fits many different size TV's  is very solid and,,
A2WH3Y3YZVTHY2,972683275,5,3,29,2012,0,0,"I'm using this with my 32"" tv and I love it. The p",,
A3945ZO3MNKVMO,972683275,5,3,11,2012,0,0,For such a cheap mount it works well. I installed,,
A2UAS6OGCR8IUG,972683275,5,12,21,2012,0,0,This was a present for myself my son installed it,,
A1BKKEWFMHS7XU,972683275,5,4,30,2012,0,0,Mounting the TV after mounting on wall can be a ha,,
A1FGK3N8GZHGZJ,972683275,5,2,21,2013,0,0,When we first bought our bedroom tv we looked at ,,
A2ZDMIP49N36UJ,972683275,5,3,10,2013,0,0,If I need to order another this will be the one. ,,
A14R4K86STZFD2,972683275,5,8,7,2013,0,0,I was hesitant about mounting my larger flat scree,,
ABU4LUKJU2QOY,972683275,5,9,5,2013,0,0,Easy to install with extra hardware for installin,,
A11ZP93TJED4T6,972683275,2,10,1,2010,1,8,The fact that the pivot point on this TV mount was,,
A114Z5X6UH93GT,972683275,5,1,19,2013,0,0,Purchased for my sister to hang her TV on a wall a,,
A23S2XCWFZM976,972683275,5,1,3,2014,1,1,"This was needed to mount a 32"" LCD that weighs 27 ",,
A1N9QB2BECD6TS,972683275,5,12,5,2013,0,0,This is mounted in a doorway between two rooms in ,,
A11EKN3A8FUEDC,972683275,5,4,20,2013,0,0,Sturdy and durable craftsmanship. Bought for my gr,,
A1THJB1ORM3U2I,972683275,5,8,31,2013,1,1,If you want a wall mount that is universal and can,,
A1G5508T5XY1RS,972683275,5,11,19,2012,1,1,Great wall mount at a great price.  Already fully ,,
APRP1LWB08YG8,972683275,4,12,25,2011,0,0,Very simple set up and ease of installation. I fol,,
A1HBNCPHMW87Y0,972683275,5,5,7,2012,0,0,"got this to hang a 32"" sony lcd in my bedroom.  us",,
A38VUSBYQZCKUQ,972683275,5,7,23,2013,0,0,used it for vizio 42&#34, tv. easy to install. fit,
A27K5RT7VDB7BU,972683275,3,12,11,2010,70,92,I purchased this mount for my 37 inch LCD TV.  Ins,,
A1KXONFPU2XQ5K,972683275,4,7,5,2012,0,0,I thought this was a great value for a wall mount.,,
A19H6TQ0NFXKVT,972683275,5,12,28,2013,0,0,my tv! Couldn't ask for more. Thanks. These review,,
A3MY0WAP1OB7F8,972683275,5,5,15,2012,1,1,This TV mount is easy to install.  Just follow the,,
A19FCOXA6VVR9Z,972683275,5,11,30,2011,0,0,This is the second VideoSecu product I have ordere,,
A2FWAYS1GIOEX4,972683275,5,7,21,2013,0,0,For the price it can't be beat.  The mount is stro,,
A2K3WCT5GZY4FN,972683275,5,1,15,2014,0,0,I originally bought this for a Sony 40&#34, TV bu,
A25BHOP1LA4XDA,972683275,5,12,28,2013,0,0,I am using this with a 40 inch Samsung smart tv.  ,,
A25RTRAPQAJBDJ,972683275,5,2,18,2012,1,1,This mount is heavy strong and already in one pie,,
A1USUT1GJPMNAN,972683275,5,11,16,2010,0,0,This mount is sturdy easy to install and easy to,,
AGY0KH2D5G9WH,972683275,5,10,12,2010,18,23,Do not listen to other reviewers screws that this,,
A2JDDUN6YNRYKU,972683275,5,12,30,2011,3,3,I purchased this mount based on others comments be,,
AMAR6CIOZUQO4,972683275,4,9,18,2010,3,4,I'm using this to mount an older SyncMaster 191T a,,
AHWVTOXGM4SZ9,972683275,5,3,6,2014,0,0,Its sturdy holds my tv really good its adjustabl,,
A1C00XXCYWEKK1,972683275,5,12,13,2012,0,0,I got this for mounting a tv on the wall in my hom,,
A162MNFD5CGQ03,972683275,5,2,19,2014,0,0,It does the job and it wasn't too hard to install ,,
AY1IDZTQDM2D7,972683275,5,12,16,2012,0,0,I have this wall mount installed outside. I have a,,
A299PV3CRFH3C5,972683275,3,12,27,2012,0,1,We had to &#34,shave&#34, a little off the wall mo
ALB2U20GGGJWU,972683275,5,4,14,2014,0,0,This unit has worked perfectly in holding a 40&#34,,
A25M2X8KHSS2NC,972683275,2,9,4,2010,8,15,Unfortunately I'm returning ,,
A25M2X8KHSS2NC,972683275,2,9,4,2010,8,15,Unfortunately I'm returning ,,
A25M2X8KHSS2NC,972683275,2,9,4,2010,8,15,Unfortunately I'm returning ,,
A25M2X8KHSS2NC,972683275,2,9,4,2010,8,15,Unfortunately I'm returning ,,
A25M2X8KHSS2NC,972683275,2,9,4,2010,8,15,Unfortunately I'm returning ,,
